admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Greater Accra,Ningo Prampram,8.282100728352862,294.2593468590355,4.0,2007
Ghana,Greater Accra,Ga East,0.0,0.0,0.0,2007
Ghana,Greater Accra,Adenta,5.658356185159126,8.871330580552037,4.0,2007
Ghana,Greater Accra,Ada East,131.58614367520187,1131.0991563398732,70.0,2007
Ghana,Greater Accra,La Dade Kotopon,0.0,2.4853679672899425,0.0,2007
Ghana,Greater Accra,Accra Metropolis,0.284026189922258,12.478389108288347,319.3176470588235,2007
Ghana,Western North,Bia West,0.0,0.44419826049804684,0.0,2007
Ghana,Western North,Sefwi Bibiani / Anhwiaso Bekwai,1.865733966064453,24.87810198364257,0.0,2007
Ghana,Western North,Bodi,0.0,0.0,0.0,2007
Ghana,Western North,Aowin,3.6478708435058587,141.78883778574058,10.0,2007
Ghana,Western North,Sefwi Akontombra,0.08892191162109375,2.134104083251953,0.0,2007
Ghana,Western North,Juabeso,0.0,0.26650289916992187,0.0,2007
Ghana,Western North,Suaman,0.0,0.0,0.0,2007
Ghana,Western North,Sefwi-Wiawso,0.0,0.17776693115234374,0.0,2007
Ghana,Western North,Bia East,0.0,0.0,0.0,2007
Ghana,Oti,Jasikan,0.0,0.0,0.0,2008
Ghana,Oti,Kadjebi,0.0,0.3311767218615962,0.0,2008
Ghana,Oti,Nkwanta South,18.096847532815364,624.6112755095403,9.0,2008
Ghana,Oti,Krachi Nchumuru,219.3814454349052,2847.525048131665,84.0,2008
Ghana,Oti,Nkwanta North,107.35386842471843,2169.512790930288,0.0,2008
Ghana,Oti,Krachi West,133.0005319263414,3395.8600325948314,69.0,2008
Ghana,Oti,Biakoye,23.29602817303827,1119.7906322814492,0.0,2008
Ghana,Oti,Krachi East,327.43849868388963,6688.188178069312,110.0,2008
Ghana,Bono,Dormaa West,0.0,0.0,0.0,2008
Ghana,Bono,Banda,11.66925523679247,36.26842796290977,7.0,2008
Ghana,Bono,Jaman South,0.0,0.0,0.0,2008
Ghana,Bono,Sunyani Municipal,0.0,0.0,0.0,2008
Ghana,Bono,Jaman North,0.2656618591308594,0.2656618591308594,0.0,2008
Ghana,Bono,Berekum,0.0,0.3546510681152343,0.0,2008
Ghana,Bono,Dormaa East,0.0,0.0,0.0,2008
Ghana,Bono,Wenchi,8.279007129648246,11.112962504380173,0.0,2008
Ghana,Bono,Sunyani West,0.0,0.08866592407226563,0.0,2008
Ghana,Bono,Tain,2.127880299622779,6.646087410218483,0.0,2008
Ghana,Bono,Dormaa Municipal,0.08872990112304688,0.9513247464767155,0.0,2008
Ghana,Ahafo,Asutifi South,0.0,0.17754050292968748,0.0,2008
Ghana,Ahafo,Asutifi North,4.969590258789063,77.67177181137988,0.0,2008
Ghana,Ahafo,Asunafo South,0.0,0.0,0.0,2008
Ghana,Ahafo,Asunafo North,0.0,0.0,0.0,2008
Ghana,Ahafo,Tano South,0.0,0.0,0.0,2008
Ghana,Ahafo,Tano North,0.0,0.0,0.0,2008
Ghana,Volta,North Tongu,3.898212721976486,126.56676056710049,7.0,2008
Ghana,Volta,Akatsi South,4.000574414062499,45.16559082397475,0.0,2008
Ghana,Volta,South Tongu,10.756069655833521,162.63094973364713,48.0,2008
Ghana,Volta,Agotime Ziope,0.17767938232421876,0.6218863220214843,0.0,2008
Ghana,Volta,Adaklu,3.145528308081531,7.499958996558097,0.0,2008
Ghana,Volta,Ho West,0.0,0.0,0.0,2008
Ghana,Volta,Akatsi North,0.9859873627546721,3.652381314170688,0.0,2008
Ghana,Volta,Ketu South,40.48042897815183,205.51384308055236,120.0,2008
Ghana,Volta,South Dayi,6.03971491699219,338.7648659511423,42.0,2008
Ghana,Volta,Kpando Municipal,1.2424532226562497,439.6927575004731,0.0,2008
Ghana,Volta,North Dayi,2.131140075683594,349.39610967299416,0.0,2008
Ghana,Volta,Central Tongu,13.741020823017191,92.90465013219482,70.0,2008
Ghana,Volta,Afadzato South,3.5515207702636715,223.70624865607792,0.0,2008
Ghana,Volta,Ketu North,27.271105453431375,46.73942038275029,0.0,2008
Ghana,Volta,Ho Municipal,0.08880143432617188,0.3552051635742187,0.0,2008
Ghana,Volta,Hohoe Municipal,0.0,0.0,0.0,2008
Ghana,Volta,Keta Municipal,28.225583713737922,2540.0046716541233,210.0,2008
Ghana,Ashanti,Asante Akim South,0.0,0.0,0.0,2008
Ghana,Ashanti,Sekyere Central,2.9090975585937504,6.843046905086739,0.0,2008
Ghana,Ashanti,Sekyere Afram Plains North,0.0,3.2816161010742184,0.0,2008
Ghana,Ashanti,Asante Akim North,43.764151617431736,1197.2544238326304,0.0,2008
Ghana,Ashanti,Offinso Municipal,0.0,0.08872360839843749,5.0,2008
Ghana,Ashanti,Sekyere Kumawu,0.0,0.0,0.0,2008
Ghana,Ashanti,Ahafo Ano North,0.44374315795898434,0.7099889099121094,0.0,2008
Ghana,Ashanti,Sekyere South,0.0,0.0,0.0,2008
Ghana,Ashanti,Asokore Mampong Municipal,0.0,0.0,0.0,2008
Ghana,Ashanti,Kwabre,0.0,0.26638487548828127,0.0,2008
Ghana,Ashanti,Amansie Central,0.6222930480957031,5.867267736816408,0.0,2008
Ghana,Ashanti,Ejisu Juaben,0.0,0.0,0.0,2008
Ghana,Ashanti,Bosome Freho,2.310239721679687,25.238750917011334,765.0,2008
