Region,Treatment,year,perc_pop
Amansie Central,1,2020,0.00022002200220022002
Bongo,1,2015,0.0
Bongo,1,2016,0.0
Bongo,1,2017,0.0
Bongo,1,2018,0.0
Bongo,1,2019,0.0
Bongo,1,2020,0.0
Ahanta West,1,2015,0.0001896584423869377
Ahanta West,1,2016,0.00011409933031299727
Ahanta West,1,2017,0.0001896584423869377
Ahanta West,1,2018,0.00026268201378725604
Ahanta West,1,2019,7.758754461283816e-05
Ahanta West,1,2020,0.0001896584423869377
Binduri,1,2015,0.0
Binduri,1,2016,0.0
Binduri,1,2017,0.0
Binduri,1,2018,0.0
Binduri,1,2019,0.0
Binduri,1,2020,0.0
Builsa South,1,2015,0.0
Builsa South,1,2016,0.0
Builsa South,1,2017,0.0
Builsa South,1,2018,0.0
Builsa South,1,2019,0.0
Builsa South,1,2020,0.0002584396704894201
Obuasi Municipal,1,2015,7.444390403684478e-05
Obuasi Municipal,1,2016,0.0
Obuasi Municipal,1,2017,0.0
Obuasi Municipal,1,2018,0.0
Obuasi Municipal,1,2019,0.0
Obuasi Municipal,1,2020,7.444390403684478e-05
Prestea / Huni Valley,1,2015,8.617611936623621e-05
Prestea / Huni Valley,1,2016,0.0005170567161974171
Prestea / Huni Valley,1,2017,8.617611936623621e-05
Prestea / Huni Valley,1,2018,0.00017235223873247242
Prestea / Huni Valley,1,2019,0.00017235223873247242
Prestea / Huni Valley,1,2020,8.617611936623621e-05
Atiwa,1,2015,0.0002630502133629508
Atiwa,1,2016,0.0007233880867481147
Atiwa,1,2017,0.0005261004267259016
Atiwa,1,2018,0.00019728766002221316
Atiwa,1,2019,0.0005261004267259016
Atiwa,1,2020,0.0002630502133629508
Sefwi Bibiani / Anhwiaso Bekwai,1,2015,5.489464149878056e-05
Sefwi Bibiani / Anhwiaso Bekwai,1,2016,5.489464149878056e-05
Sefwi Bibiani / Anhwiaso Bekwai,1,2017,0.0
Sefwi Bibiani / Anhwiaso Bekwai,1,2018,5.489464149878056e-05
Sefwi Bibiani / Anhwiaso Bekwai,1,2019,5.489464149878056e-05
Sefwi Bibiani / Anhwiaso Bekwai,1,2020,0.0
Zabzugu,1,2015,0.0
Zabzugu,1,2016,0.0
Zabzugu,1,2017,0.0
Zabzugu,1,2018,0.0
Zabzugu,1,2019,0.0
Zabzugu,1,2020,0.0
Nzema East,1,2015,0.00016532683047800118
Nzema East,1,2016,0.0006613073219120047
Nzema East,1,2017,0.00033065366095600237
Nzema East,1,2018,0.0004959804914340035
Nzema East,1,2019,0.0004959804914340035
Nzema East,1,2020,0.0
Gomoa West,1,2015,0.0
Gomoa West,1,2016,0.0
Gomoa West,1,2017,0.002092081471629881
Gomoa West,1,2018,0.0
Gomoa West,1,2019,0.0
Gomoa West,1,2020,0.00010460407358149404
Tema Metropolis,1,2015,0.0
Tema Metropolis,1,2016,0.0
Tema Metropolis,1,2017,0.0
Tema Metropolis,1,2018,0.0
Tema Metropolis,1,2019,0.0
Tema Metropolis,1,2020,0.0
Lawra,1,2015,9.225234090315042e-05
Lawra,1,2016,0.0
Lawra,1,2017,0.0
Lawra,1,2018,0.0
